bic,name,street,phone,country/id
0040358,臺灣銀行左營分行,高雄市左營區左營大路19號一、二樓及地下一樓,07-5819141,base.tw
0040369,臺灣銀行北投分行,台北市北投區中央南路一段152號一至三樓,02-28951200,base.tw
0040370,臺灣銀行霧峰分行,台中市霧峰區中正路838號一至三樓及地下一樓,04-23302216,base.tw
0040381,臺灣銀行金門分行,金門縣金湖鎮復興路4號一、二樓及地下一樓,082-333711,base.tw
0040392,臺灣銀行馬祖分行,連江縣南竿鄉介壽村257號一至三樓及地下一樓,0836-26046,base.tw
0040406,臺灣銀行安平分行,台南市中西區中正路240號一至四樓,06-2292181,base.tw
0040417,臺灣銀行中壢分行,桃園縣中壢市延平路580號一至四樓及部分地下一樓,03-4252160,base.tw
0040428,臺灣銀行三重分行,新北市三重區重新路四段39號一至三樓及部分地下一樓,02-29719621,base.tw
0040439,臺灣銀行頭份分行,苗栗縣頭份鎮中正路六十五號一、二、三樓,037-663451,base.tw
0040440,臺灣銀行前鎮分行,高雄市前鎮區擴建路1-3號一、二樓及地下一樓,07-8115171,base.tw
0040451,臺灣銀行城中分行,台北市中正區青島東路47號一、二樓、部分三樓及地下一樓,02-23218934,base.tw
0040462,臺灣銀行民權分行,台北市大同區承德路二段239號1至3樓,02-25530121,base.tw
0040473,臺灣銀行潭子分行,台中市潭子區建國路1號一樓及地下一樓,04-25323133,base.tw
0040484,臺灣銀行連城分行,新北市中和區建一路186號一、二樓,02-82272611,base.tw
0040495,臺灣銀行員林分行,彰化縣員林鎮民生路63號一至四樓及地下一樓,04-8323191,base.tw
0040509,臺灣銀行松江分行,台北市中山區松江路115號一至三樓及地下一樓,02-25069421,base.tw
0040510,臺灣銀行鼓山分行,高雄市鼓山區臨海一路23號一、二樓及地下一樓,07-5218291,base.tw
0040521,臺灣銀行龍山分行,台北市萬華區康定路380號1至6樓及地下一樓,02-23088111,base.tw
0040532,臺灣銀行忠孝分行,台北市大安區敦化南路一段202號一、二樓及三樓309室,02-27516091,base.tw
0040543,臺灣銀行信義分行,台北市大安區信義路二段88號一至三樓及地下一樓,02-23515486,base.tw
0040554,臺灣銀行復興分行,台中市東區復興路四段102號一至三樓,04-22244181,base.tw
0040565,臺灣銀行三民分行,高雄市三民區九如二路567號一至三樓,07-3127143,base.tw
0040576,臺灣銀行臺中港分行,台中市梧棲區四維路2號一、二、三、十樓及地下室一、二層,04-26562311,base.tw
0040587,臺灣銀行羅東分行,宜蘭縣羅東鎮公正路93號一至五樓,03-9576866,base.tw
0040598,臺灣銀行埔裡分行,南投縣埔裡鎮東榮路112號,049-2983991,base.tw
0040602,臺灣銀行岡山分行,高雄市岡山區壽天路16號一至四樓及地下一樓,07-6216141,base.tw
0040613,臺灣銀行新興分行,高雄市新興區民族二路133號一至三樓及地下一樓,07-2384611,base.tw
0040624,臺灣銀行苓雅分行,高雄市苓雅區青年一路261號一至三樓及地下一樓,07-3358700,base.tw
0040646,臺灣銀行松山分行,台北市信義區忠孝東路四段560號一樓及部分地下一樓,02-27293111,base.tw
0040657,臺灣銀行健行分行,台中市中區臺灣大道一段276一、二樓,04-22242141,base.tw
0040668,臺灣銀行中和分行,新北市中和區中山路二段253號一至三樓及部分地下一樓,02-22488980,base.tw
0040679,臺灣銀行太保分行,嘉義縣太保市祥和新村祥和一路東段2號,05-3620016,base.tw
0040680,臺灣銀行竹北分行,新竹縣竹北市光明六路16號一至三樓及地下一樓,03-5513111,base.tw
0040691,臺灣銀行國際金融業務分行,台北市中正區武昌街1段49號前棟3樓,02-23493456,base.tw
0040705,臺灣銀行士林分行,台北市士林區中山北路六段197號1-3樓及地下1樓,02-28367080,base.tw
0040716,臺灣銀行新莊分行,新北市新莊區新泰路85號一、二樓,02-22056699,base.tw
0040727,臺灣銀行大甲分行,台中市大甲區民生路61號一至三樓,04-26868111,base.tw
0040738,臺灣銀行新竹科學園區分行,新竹市新竹科學園區工業東六路5號2樓,03-5770050,base.tw
0040749,臺灣銀行樹林分行,新北市樹林區文化街廿七號二樓及廿九號一、二樓,02-26866511,base.tw
0040750,臺灣銀行新店分行,新北市新店區寶中路45號一、二樓,02-29180795,base.tw
0040794,臺灣銀行黎明分行,台中市南屯區大業路607號一至三樓及地下一樓,04-22551178,base.tw
0040808,臺灣銀行民生分行,台北市松山區復興北路167號一、二樓,02-27192081,base.tw
0040819,臺灣銀行永康分行,台南市永康區小東路513號一、二樓,06-3125411,base.tw
0040820,臺灣銀行三多分行,高雄市苓雅區新光路142號一至三樓,07-3349341,base.tw
0040831,臺灣銀行紐約分行,"100 Wall Street, 11th Floor, New York NY 10005 USA",1-212-968-8128,
0040853,臺灣銀行臺北世貿中心分行,台北市信義區基隆路一段333號3樓,02-27200315,base.tw
0040864,臺灣銀行大安分行,台北市大安區敦化南路2段69號1樓及65號7樓,02-27553121,base.tw
0040875,臺灣銀行華江分行,新北市板橋區中山路一段293-2號一至三樓,02-29610101,base.tw
0040886,臺灣銀行潮州分行,屏東縣潮州鎮新生路13-2號一至六樓及地下一樓,08-7883384,base.tw
0040897,臺灣銀行蘇澳分行,宜蘭縣蘇澳鎮中山路1段97號一、二樓,03-9962566,base.tw
0040901,臺灣銀行大雅分行,台中市大雅區中清路三段1080號1至5樓及地下1樓,04-25683330,base.tw
0040912,臺灣銀行楠梓分行,高雄市楠梓區楠梓路201號一至三樓,07-3532115,base.tw
0040923,臺灣銀行臺中工業區分行,台中市西屯區工業區一路196號一至三樓及地下一樓,04-23597850,base.tw
0040945,臺灣銀行洛杉磯分行,"601 S. FIGUEROA ST. 45TH FL., SUITE 4525  L A,  CA90017 USA",1-213-629-6600,
0041067,臺灣銀行敦化分行,台北市松山區敦化北路205號1樓,02-25455111,base.tw
0041078,臺灣銀行南港分行,台北市南港區南港路二段95號1樓,02-26516706,base.tw
0041089,臺灣銀行和平分行,台北市大安區和平東路一段180號一至三樓,02-23687027,base.tw
0041090,臺灣銀行水湳分行,台中市北屯區崇德路二段416號一、二樓,04-22468130,base.tw
0041104,臺灣銀行中崙分行,台北市松山區南京東路五段184號一樓、188號2樓之8、188號2樓之9,02-27698618,base.tw
0041115,臺灣銀行土城分行,新北市土城區中央路二段338、340號一樓及342、344號一至三樓,02-22703791,base.tw
0041148,臺灣銀行香港分行,香港中環皇后大道中28號中匯大廈23樓,852-2521-0567,
0041159,臺灣銀行桃園國際機場分行,桃園縣大園鄉埔心村航站南路15號一至三樓及地下一樓,03-3982166,base.tw
0041160,臺灣銀行大昌分行,高雄市三民區九如一路五四○號一、二樓及地下一樓,07-3891036,base.tw
0041171,臺灣銀行東京分行,"7TH FL. FUKOKU SEIMEI BL, 2-2-2 UCHISAIWAICHO 2-CHOME CHIYODA-KU,TOKYO JAPAN",81-3-3504-8881,
0041182,臺灣銀行五甲分行,高雄市鳳山區五甲二路168號一至三樓,07-7170730,base.tw
0041193,臺灣銀行博愛分行,高雄市左營區裕誠路394號一、二樓,07-5567690,base.tw
0041207,臺灣銀行中莊分行,高雄市大寮區鳳屏一路339號一至三樓,07-7038838,base.tw
0041218,臺灣銀行平鎮分行,桃園縣平鎮市環南路二段11號一至三樓及地下一樓,03-4945688,base.tw
0041229,臺灣銀行仁愛分行,台北市中正區仁愛路二段99號一、二樓,02-23975936,base.tw
0041230,臺灣銀行南崁分行,桃園縣蘆竹鄉南崁路一段81號一樓、85號一樓、83號二樓之一及二樓之二,03-3529191,base.tw
0041241,臺灣銀行圓山分行,台北市中山區林森北路577號一至四樓,02-25976699,base.tw
0041355,臺灣銀行五股分行,新北市五股區中興路四段42號一至三樓,02-22936699,base.tw
0041366,臺灣銀行大裡分行,台中市大裡區國光路二段481號一、二、三樓及地下一、二樓,04-24180211,base.tw
0041377,臺灣銀行安南分行,台南市安南區安和路二段298號1-3樓,06-3555111,base.tw
0041388,臺灣銀行新加坡分行,"80 Raffles Place #28-20 UOB Plaza 2, Singapore 048624",65-6536-5536,
0041414,臺灣銀行西屯分行,台中市西屯區青海路二段41號一至三樓及地下一樓,04-23128528,base.tw
0041425,臺灣銀行天母分行,台北市士林區中山北路七段18號一、二樓及部分地下一樓,02-28755222,base.tw
0041436,臺灣銀行鹿港分行,彰化縣鹿港鎮鹿工路2號一樓,04-7810168,base.tw
0041447,臺灣銀行內壢分行,桃園縣中壢市興農路125號一、二樓,03-4618519,base.tw
0041469,臺灣銀行臺南科學園區分行,台南市新市區南科三路15號1樓,06-5051701,base.tw
0041470,臺灣銀行虎尾分行,雲林縣虎尾鎮林森路二段369號一至二樓、371號一至二樓及373號一樓,05-6337367,base.tw
0041481,臺灣銀行淡水分行,新北市淡水區中山路93號一至三樓及地下一樓,02-26281111,base.tw
0041539,臺灣銀行內湖分行,台北市內湖區內湖路一段396號一、二樓及398號一樓,02-87977933,base.tw
0041540,臺灣銀行嘉北分行,嘉義市忠孝路602號一至六樓及地下一樓,05-2718911,base.tw
0041551,臺灣銀行東港分行,屏東縣東港鎮新勝街105號1-3樓,08-8323131,base.tw
0041562,臺灣銀行汐止分行,新北市汐止區大同路二段一七五號一樓,02-86926822,base.tw
0041573,臺灣銀行梧棲分行,台中市梧棲區加工出口區建五路2號一、二樓,04-26565111,base.tw
0041595,臺灣銀行小港分行,高雄市小港區宏平路410號一、二樓,07-8010399,base.tw
0041609,臺灣銀行中屏分行,屏東市中華路九號一至三樓,08-7677001,base.tw
0041610,臺灣銀行南非分行,NO.11 CRADOCK AVE. ROSEBANK 2196 JOHANNESBURG  SOUTH AFRICA,27-11-880-8008,
0041621,臺灣銀行群賢分行,台北市中正區中山南路一號一樓及地下一樓,02-23411001,base.tw
0041643,臺灣銀行北大路分行,新竹市東區民權路267號,03-5354381,base.tw
0041654,臺灣銀行文山分行,台北市文山區羅斯福路六段218號一、二樓,02-86633456,base.tw
0041702,臺灣銀行太平分行,"台中市太平區中興東路146號1,2樓及部分地下一樓",04-22736666,base.tw
0041713,臺灣銀行德芳分行,台中市大裡區德芳路一段六三號一樓,04-24853280,base.tw
0041724,臺灣銀行建國分行,桃園市中壢區健行路169號一、二、三樓,03-4670081,base.tw
0041768,臺灣銀行屏東農科園區分行,屏東縣長治鄉德和村農科路23號,08-7626611,base.tw
0041861,臺灣銀行東桃園分行,桃園縣桃園市經國路298、300號一、二樓,03-3263888,base.tw
0041872,臺灣銀行蘆洲分行,新北市蘆洲區三民路五十號一、二樓及部分地下一樓,02-82868686,base.tw
0041919,臺灣銀行高雄國際機場分行,高雄市小港區中山四路二號國際航廈一樓及地下室,07-8017564,base.tw
0041931,臺灣銀行永吉簡易型分行,台北市松山區松仁路三號三樓,02-27209856,base.tw
0041942,臺灣銀行東門簡易型分行,臺北市中正區東門裡15鄰紹興南街21號,02-23943168,base.tw
0041953,臺灣銀行愛國簡易型分行,台北市大安區愛國東路31號一樓,02-23960017,base.tw
0041986,臺灣銀行臺電簡易型分行,台北市中正區羅斯福路3段242號一樓,02-23667506,base.tw
0042053,臺灣銀行北府簡易型分行,新北市板橋區中山路一段161號地下一樓,02-89535968,base.tw
0042101,臺灣銀行倫敦分行,"Level 5, City Tower, 40  Basinghall St. London EC2V  5DE U.K..",44-20-73824530,
0042189,臺灣銀行臺北港分行,新北市八里區商港路123號2樓,02-2619-6269,base.tw
0042204,臺灣銀行臺中科學園區分行,台中市大雅區中科路6號2樓之5、之6,04-25658111,base.tw
0042215,臺灣銀行高雄科學園區分行,高雄市路竹區路科5路23號1至3樓,07-6955268,base.tw
0042237,臺灣銀行東湖分行,台北市內湖區成功路5段458號1樓,02-26305768,base.tw
0042248,臺灣銀行高榮分行,高雄市左營區重信路415號1、2、3樓,07-3432258,base.tw
0042259,臺灣銀行南港軟體園區分行,台北市南港區三重路66號2樓之2,02-27833009,base.tw
0042260,臺灣銀行龍潭分行,桃園市龍潭區東龍路142號1、2、3樓及龍青路2號1樓,03-4790888,base.tw
0042271,臺灣銀行仁德分行,台南市仁德區中正路2段899號1、2樓,06-2492389,base.tw
0042282,臺灣銀行林口分行,桃園縣龜山鄉大華村復興ㄧ路368號,03-3277299,base.tw
0042293,臺灣銀行木柵分行,台北市文山區新光路一段145號1.2樓,02-86615115,base.tw
0042307,臺南創新園區分行,臺南市安南區科技公園大道18號,06-3842585,base.tw
0042363,臺灣銀行武昌分行,台北市中正區武昌街1段49號,02-23493456,base.tw
0042385,臺灣銀行臺北分行,台北市中山區松江路80號,02-25435790,base.tw
0042396,臺灣銀行金山分行,台北市大安區金山南路2段189號1至4樓,02-23413006,base.tw
0042400,臺灣銀行信安分行,台北市大安區信義路3段132號1至3樓及地下1樓,02-27057905,base.tw
0042411,臺灣銀行劍潭分行,台北市士林區承德路4段174號1、2樓,02-28831633,base.tw
0042422,臺灣銀行萬華分行,台北市萬華區貴陽街2段26號1、2樓及地下室,02-23830066,base.tw
0042433,臺灣銀行板新分行,新北市板橋區文化路1段268號1樓,02-22540560,base.tw
0042444,臺灣銀行新永和分行,"新北市永和區仁愛路91、93、95、97、99號,1及2樓",02-29211808,base.tw
0042455,臺灣銀行南新莊分行,新北市新莊區中正路653、653之1號,02-29012999,base.tw
0042466,臺灣銀行桃興分行,桃園縣桃園市延平路28之8號1-3樓,03-3645566,base.tw
0042477,臺灣銀行新明分行,桃園縣中壢市新明路7號1、2樓及地下1樓,03-4951301,base.tw
0042488,臺灣銀行六家分行,新竹縣竹北市光明六路東一段310、312號,03-6585858,base.tw
0042499,臺灣銀行北臺中分行,台中市北區進化北路369號1~3樓,04-22077412,base.tw
0042525,臺灣銀行嘉南分行,嘉義市中興路353號1、2樓B室,05-2348686,base.tw
0042536,臺灣銀行南都分行,台南市中西區忠義路2段180號,06-2219999,base.tw
0042558,臺灣銀行北高雄分行,高雄市左營區博愛二路106號1、2樓,07-5581900,base.tw
0042569,臺灣銀行成功分行,高雄市苓雅區成功一路261號,07-2512031,base.tw
0042570,臺灣銀行北花蓮分行,花蓮縣花蓮市林森路281號一、二樓,03-8361163,base.tw
0042709,臺灣銀行新湖分行,台北市內湖區行愛路188號,02-87927988,base.tw
0042710,臺灣銀行五福分行,高雄市苓雅區四維二路52號一、二樓,07-7271606,base.tw
0042721,臺灣銀行六甲頂分行,台南市永康區中正南路41號1樓及41之1號2樓,06-2810991,base.tw
0042776,臺灣銀行上海分行,中國大陸上海市靜安區南京西路1788號30樓,86-21-3256-9900,
0042787,臺灣銀行中都分行,台中市西屯區臺灣大道三段99號1樓,04-22589611,base.tw
0042798,臺灣銀行臺北國際機場分行,台北市松山區敦化北路340之9號及338之4號,02-27187628,base.tw
0042802,新莊副都心分行,頭前路119號1樓及121號1-3樓,02-22773000,base.tw
0042813,臺灣銀行孟買代表人辦事處,"Regus Platina, 9th Floor, Platina, C-59, G Block, Bandra-Kurla Complex, Bandra(East), Mumbai - 400051, Maharashtra",+91-22-6700-0907,
0042824,臺灣銀行雪梨分行,"Suite 10.02, Level 10, Chifley Tower, 2 Chifley Square, Sydney, NSW 2000, Australia",+61 2 8051 5300,
0042835,臺灣銀行仁武分行,高雄市仁武區八德南路139號,07-3752999,base.tw
0042846,臺灣銀行上海嘉定支行,上海市嘉定區銀翔路819弄1號2樓203室,86-21-5910-5311,
0042868,臺灣銀行仰光代表人辦事處,"Rose Garden Offices,Unit1&2,1st Floor,No.171,Upper Pansodan Road,Mingalar Taung Nyunt Township,Yangon,Myanmar.",95-1-371992,
0042879,臺灣銀行廣州分行,中國大陸廣州市天河區珠江西路5號廣州國際金融中心主塔寫字樓第2404、2405、2406單元,86-20-8367-3000,
0042880,臺灣銀行福州分行,中國大陸福州市台江區光明南路1號升龍匯金中心39樓3908室,86-0591-8361-3189,
0042891,臺灣銀行臺中國際機場分行,臺中市沙鹿區中航路1段168號,04-26152668,base.tw
0042905,臺中精密園區分行,精科東路17號,04-23554777,base.tw
0042927,臺灣銀行曼谷代表人辦事處,"Unit 3,22th Floor, AIA Sathorn Tower,11/1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120, Thailand",66-2-046-4926,
0042950,臺灣銀行矽谷代表人辦事處,"75E.Santa Clara St.,San Jose,CA95113,USA",1-626-3833898,
0042961,臺灣銀行法蘭克福代表人辦事處,"4th Floor, Bockenheimer Landstrase 51-53, 60325 Frankfurt am Main, Germany",+49-69-977-8876-00,
0050027,臺灣土地銀行基隆分行,基隆市義一路十八號1-4樓,02-24210200,base.tw
0050038,臺灣土地銀行中和分行,新北市中和區景平路323號,02-29461123,base.tw
0050049,臺灣土地銀行南港分行,台北市南港區南港路1段364號1、2、3、5樓,02-27834161,base.tw
0050050,臺灣土地銀行台北分行,台北市博愛路72號,02-23713241,base.tw
0050061,臺灣土地銀行民權分行,台北市民權西路26號,02-25629801,base.tw
0050072,臺灣土地銀行古亭分行,台北市羅斯福路三段125號,02-23634747,base.tw
0050083,臺灣土地銀行長安分行,台北市中山區長安東路二段52號,02-25238166,base.tw
0050094,臺灣土地銀行士林分行,台北市士林區中山北路五段689號,02-28341361,base.tw
0050108,臺灣土地銀行三重分行,新北市三重區重新路二段1-8.9.10號,02-89712222,base.tw
0050119,臺灣土地銀行宜蘭分行,宜蘭縣宜蘭市中山路二段31號1至2樓,03-9361101,base.tw
0050120,臺灣土地銀行羅東分行,宜蘭縣羅東鎮公正路158號,03-9571111,base.tw
0050131,臺灣土地銀行桃園分行,桃園市桃園區中正路75號,03-3379911,base.tw
0050142,臺灣土地銀行中壢分行,桃園市中壢區中山路190號,03-4253140,base.tw
0050153,臺灣土地銀行石門分行,桃園市龍潭區北龍路49號,03-4792101,base.tw
0050164,臺灣土地銀行新竹分行,新竹市中央路1號,03-5213211,base.tw
0050175,臺灣土地銀行竹東分行,新竹縣竹東鎮東林路10號,03-5961171,base.tw
0050186,臺灣土地銀行花蓮分行,花蓮縣花蓮市中山路356號,03-8351171,base.tw
0050197,臺灣土地銀行玉裡分行,花蓮縣玉裡鎮中山路二段51號,03-8886181,base.tw
0050201,臺灣土地銀行苗栗分行,苗栗縣苗栗市中正路402號,037-320531,base.tw
0050212,臺灣土地銀行頭份分行,苗栗縣頭份市中華路932號,037-667185,base.tw
0050223,臺灣土地銀行豐原分行,臺中市豐原區中山路508號,04-25223423,base.tw
0050234,臺灣土地銀行大甲分行,臺中市大甲區鎮政路40號,04-26872001,base.tw
0050245,臺灣土地銀行台中分行,台中市自由路二段1號,04-2235021,base.tw
0050256,臺灣土地銀行南投分行,南投縣南投市中山街202號,049-222143,base.tw
0050267,臺灣土地銀行員林分行,彰化縣員林市中山路二段100號,04-8323171,base.tw
0050278,臺灣土地銀行斗六分行,雲林縣斗六市中山路72號,05-5323901,base.tw
0050289,臺灣土地銀行北港分行,雲林縣北港鎮民主路90號,05-7836111,base.tw
0050290,臺灣土地銀行嘉義分行,嘉義市中山路309號,05-2241150,base.tw
0050304,臺灣土地銀行新營分行,臺南市新營區中山路79號,06-6322441,base.tw
0050315,臺灣土地銀行永康分行,臺南市永康區中山南路20號,06-2321171,base.tw
0050326,臺灣土地銀行台南分行,台南市中西區中正路28號,06-2265211,base.tw
0050337,臺灣土地銀行高雄分行,高雄市鹽埕區大勇路131號,07-5515231,base.tw
0050348,臺灣土地銀行岡山分行,高雄市岡山區岡山路285號,07-6216102,base.tw
0050359,臺灣土地銀行美濃分行,高雄市美濃區中山路一段65號,07-6813211,base.tw
0050360,臺灣土地銀行屏東分行,屏東縣屏東市逢甲路78號,08-7325131,base.tw
0050371,臺灣土地銀行臺東分行,台東縣台東市中華路一段357號,089-310111,base.tw
0050382,臺灣土地銀行青年分行,高雄市鳳山區青年路二段281號1至4樓,07-7437640,base.tw
0050393,臺灣土地銀行金門分行,金門縣金城鎮民生路34號,082-327300,base.tw
0050407,臺灣土地銀行澎湖分行,澎湖縣馬公市三民路20號,06-9262141,base.tw
0050418,臺灣土地銀行營業部,台北市館前路46號,02-23483456,base.tw
0050452,臺灣土地銀行和平分行,台北市和平東路三段15號,02-27057505,base.tw
0050463,臺灣土地銀行潮州分行,屏東縣潮州鎮新生路12號,08-7884111,base.tw
0050474,臺灣土地銀行彰化分行,彰化縣彰化市光復路98號,04-7230777,base.tw
0050485,臺灣土地銀行中山分行,高雄市前金區五福三路87號,07-2519406,base.tw
0050496,臺灣土地銀行永和分行,新北市永和區竹林路33號,02-29270511,base.tw
0050500,臺灣土地銀行板橋分行,新北市板橋區文化路一段143號,02-29689111,base.tw
0050511,臺灣土地銀行鳳山分行,高雄市鳳山區曹公路15號,07-7460121,base.tw
0050522,臺灣土地銀行湖口分行,新竹縣湖口鄉中正路一段102號,03-5996111,base.tw
0050533,臺灣土地銀行蘇澳分行,宜蘭縣蘇澳鎮太平路17號,03-9961100,base.tw
0050544,臺灣土地銀行新興分行,高雄市新興區七賢一路480號,07-2355111,base.tw
0050555,臺灣土地銀行西台中分行,臺中市西區五權路2-4號,04-22289151,base.tw
0050566,臺灣土地銀行虎尾分行,雲林縣虎尾鎮林森路一段490號,05-6327373,base.tw
0050577,臺灣土地銀行仁愛分行,台北市仁愛路三段29號,02-27728282,base.tw
0050588,臺灣土地銀行忠孝分行,台北市復興南路一段129號,02-27312393,base.tw
0050599,臺灣土地銀行中正分行,高雄市新興區中正三路158號,07-2352156,base.tw
0050614,臺灣土地銀行新店分行,新北市新店區北新路一段309號,02-29151234,base.tw
0050625,臺灣土地銀行北台南分行,臺南市北區公園路128-7號,06-2210071,base.tw
0050636,臺灣土地銀行松山分行,台北市松山區敦化南路一段1號,02-25774558,base.tw
0050647,臺灣土地銀行內湖分行,台北市內湖區民權東路六段156號,02-27963800,base.tw
0050658,臺灣土地銀行三民分行,高雄市三民區建工路647、649、651、653、655、657、659、661等號1至2樓,07-3861301,base.tw
0050669,臺灣土地銀行民雄分行,嘉義縣民雄鄉建國路三段126號1-4樓,05-2200180,base.tw
0050670,臺灣土地銀行大社分行,高雄市大社區中山路367.369.371號,07-3520779,base.tw
0050692,臺灣土地銀行前鎮分行,高雄市前鎮區一心一路241號,07-3329755,base.tw
0050706,臺灣土地銀行路竹分行,高雄市路竹區國昌路18號1-3樓,07-6972131,base.tw
0050717,臺灣土地銀行五甲分行,高雄市鳳山區五甲二路256號,07-7715176,base.tw
0050728,臺灣土地銀行太平分行,臺中市太平區中山路3段131號1至4樓及地下1樓,04-23950788,base.tw
0050739,臺灣土地銀行正濱分行,基隆市中正路652號,02-24621111,base.tw
0050740,臺灣土地銀行敦化分行,台北市敦化南路二段76號,02-27071234,base.tw
0050751,臺灣土地銀行信託部,台北市懷寧街53號4樓,02-23483456,base.tw
0050762,臺灣土地銀行蘆洲分行,新北市蘆洲區中山一路100號,02-22859100,base.tw
0050773,臺灣土地銀行北臺中分行,中清路一段79號,04-22016902,base.tw
0050784,臺灣土地銀行苓雅分行,高雄市苓雅區忠孝二路18號,07-3328477,base.tw
0050795,臺灣土地銀行信義分行,台北市基隆路一段436號,02-27585667,base.tw
0050809,臺灣土地銀行土城分行,新北市土城區中央路一段127號,02-22651000,base.tw
0050810,臺灣土地銀行淡水分行,"新北市淡水區中山北路1段40,42,46號1.2樓(含地下一樓)",02-26219691,base.tw
0050821,臺灣土地銀行草屯分行,南投縣草屯鎮中正路601之7號,049-330573,base.tw
0050832,臺灣土地銀行東台南分行,臺南市東區東門路三段261號,06-2902789,base.tw
0050843,臺灣土地銀行通霄分行,苗栗縣通霄鎮中正路85號1、2樓,037-756010,base.tw
0050854,臺灣土地銀行學甲分行,"臺南市學甲區中正路303號1,2,3樓（含地下一樓)",06-7832166,base.tw
0050865,臺灣土地銀行新莊分行,新北市新莊區思源路221號,02-29973321,base.tw
0050876,臺灣土地銀行雙和分行,新北市中和區中山路二段120號,02-22425300,base.tw
0050887,臺灣土地銀行國外部,台北市館前路46號,02-23483456,base.tw
0050898,臺灣土地銀行白河分行,臺南市白河區三民路395號1、2、3樓,06-6855301,base.tw
0050902,臺灣土地銀行復興分行,台北市松山區民生東路三段132號,02-27199989,base.tw
0050913,臺灣土地銀行平鎮分行,桃園市平鎮區中豐路山頂段5號1至3樓,03-4699111,base.tw
0050924,臺灣土地銀行國際金融業務分行,台北市懷寧街53號6樓,02-23483456,base.tw
0050935,臺灣土地銀行文山分行,台北市文山區景興路206號1、2樓及地下1樓,02-29336222,base.tw
0050946,臺灣土地銀行中港分行,台中市文心路2段598號1至2樓及地下1樓,04-23288800,base.tw
0050957,臺灣土地銀行東板橋分行,新北市板橋區民族路212.214.216.218.220號1-2樓,02-29633939,base.tw
0050968,臺灣土地銀行南崁分行,桃園市蘆竹區洛陽街16號,03-3526556,base.tw
0050979,臺灣土地銀行建國分行,高雄市三民區建國一路458號,07-2250011,base.tw
0050980,臺灣土地銀行樹林分行,新北市樹林區保安二街82號,02-26845116,base.tw
0050991,臺灣土地銀行東台北分行,台北市信義區松德路107號,02-27272588,base.tw
